Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
War Pigs,Black Sabbath,1970,War Pigs by Black Sabbath,1,1,38,38
Rockin' In the Free World,Neil Young,1989,Rockin' In the Free World by Neil Young,1,1,38,38
Let My Love Open the Door,Pete Townshend,1980,Let My Love Open the Door by Pete Townshend,1,1,38,38
Mysterious Ways,U2,1991,Mysterious Ways by U2,1,1,38,38
Heat of the Moment,Asia,1982,Heat of the Moment by Asia,1,1,37,37
Piano Man,Billy Joel,1973,Piano Man by Billy Joel,1,1,37,37
Woodstock,"Crosby, Stills, Nash & Young",1970,"Woodstock by Crosby, Stills, Nash & Young",1,1,37,37
Dirty Laundry,Don Henley,1982,Dirty Laundry by Don Henley,1,1,37,37
Gold Dust Woman,Fleetwood Mac,1977,Gold Dust Woman by Fleetwood Mac,1,1,37,37
Do You Feel Like We Do,Peter Frampton,1973,Do You Feel Like We Do by Peter Frampton,1,1,37,37
Brown Sugar,Rolling Stones,1971,Brown Sugar by Rolling Stones,1,1,37,37
Evil Ways,Santana,1969,Evil Ways by Santana,1,1,37,37
Oye Como Va,Santana,1970,Oye Como Va by Santana,1,1,37,37
Stuck In the Middle With You,Stealers Wheel,1972,Stuck In the Middle With You by Stealers Wheel,1,1,37,37
The Waiting,Tom Petty & The Heartbreakers,1981,The Waiting by Tom Petty & The Heartbreakers,1,1,37,37
Straight On,Heart,1978,Straight On by Heart,1,1,36,36
Sledgehammer,Peter Gabriel,1986,Sledgehammer by Peter Gabriel,1,1,36,36
Shattered,Rolling Stones,1978,Shattered by Rolling Stones,1,1,36,36
Where the Streets Have No Name,U2,1987,Where the Streets Have No Name by U2,1,1,36,36
Love In An Elevator,Aerosmith,1989,Love In An Elevator by Aerosmith,1,1,35,35
Animal,Def Leppard,1987,Animal by Def Leppard,1,1,35,35
Take Me Home Tonight,Eddie Money,1986,Take Me Home Tonight by Eddie Money,1,1,35,35
Abacab,Genesis,1981,Abacab by Genesis,1,1,35,35
That's All,Genesis,1983,That's All by Genesis,1,1,35,35
Heartbreaker/living Loving Maid {she's Just A Woman},Led Zeppelin,1969,Heartbreaker/living Loving Maid {she's Just A Woman} by Led Zeppelin,1,1,35,35
Trampled Under Foot,Led Zeppelin,1975,Trampled Under Foot by Led Zeppelin,1,1,35,35
The One I Love,R.E.M.,1987,The One I Love by R.E.M.,1,1,35,35
"Hello, I Love You",The Doors,1968,"Hello, I Love You by The Doors",1,1,35,35
Synchronicity II,The Police,1983,Synchronicity II by The Police,1,1,35,35
Bargain,The Who,1971,Bargain by The Who,1,1,35,35
Long Distance Runaround,Yes,1972,Long Distance Runaround by Yes,1,1,35,35
Thunderstruck,AC/DC,1990,Thunderstruck by AC/DC,1,1,34,34
Janie's Got A Gun,Aerosmith,1989,Janie's Got A Gun by Aerosmith,1,1,34,34
Ramblin' Man,Allman Brothers Band,1973,Ramblin' Man by Allman Brothers Band,1,1,34,34
Sweet Leaf,Black Sabbath,1971,Sweet Leaf by Black Sabbath,1,1,34,34
Saturday Night's Alright for Fighting,Elton John,1973,Saturday Night's Alright for Fighting by Elton John,1,1,34,34
Pink Houses,John Mellencamp,1984,Pink Houses by John Mellencamp,1,1,34,34
Enter Sandman,Metallica,1991,Enter Sandman by Metallica,1,1,34,34
(Oh) Pretty Woman,Van Halen,1982,(Oh) Pretty Woman by Van Halen,1,1,34,34
I've Seen All Good People,Yes,1971,I've Seen All Good People by Yes,1,1,34,34
Cheap Sunglasses,ZZ Top,1980,Cheap Sunglasses by ZZ Top,1,1,34,34
Smokin',Boston,1976,Smokin' by Boston,1,1,33,33
Fortunate Son,Creedence Clearwater Revival,1970,Fortunate Son by Creedence Clearwater Revival,1,1,33,33
Changes,David Bowie,1971,Changes by David Bowie,1,1,33,33
Rock On,David Essex,1974,Rock On by David Essex,1,1,33,33
I Drink Alone,George Thorogood,1985,I Drink Alone by George Thorogood,1,1,33,33
Dixie/Sweet Home Alabama,Lynyrd Skynyrd,1974,Dixie/Sweet Home Alabama by Lynyrd Skynyrd,1,1,33,33
Plush,Stone Temple Pilots,1992,Plush by Stone Temple Pilots,1,1,33,33
Stranglehold,Ted Nugent,1975,Stranglehold by Ted Nugent,1,1,33,33
Middle Of The Road,The Pretenders,1984,Middle Of The Road by The Pretenders,1,1,33,33
Bad Moon Rising,Creedence Clearwater Revival,1969,Bad Moon Rising by Creedence Clearwater Revival,1,1,32,32
Jane,Jefferson Starship,1979,Jane by Jefferson Starship,1,1,32,32
Living After Midnight,Judas Priest,1980,Living After Midnight by Judas Priest,1,1,32,32
Hey Hey What Can I Do,Led Zeppelin,1970,Hey Hey What Can I Do by Led Zeppelin,1,1,32,32
Sister Christian,Night Ranger,1983,Sister Christian by Night Ranger,1,1,32,32
Angie,Rolling Stones,1973,Angie by Rolling Stones,1,1,32,32
Fly By Night,Rush,1975,Fly By Night by Rush,1,1,32,32
Every Breath You Take,The Police,1983,Every Breath You Take by The Police,1,1,32,32
Tube Snake Boogie,ZZ Top,1981,Tube Snake Boogie by ZZ Top,1,1,32,32
What It Takes,Aerosmith,1989,What It Takes by Aerosmith,1,1,31,31
Born To Run,Bruce Springsteen,1975,Born To Run by Bruce Springsteen,1,1,31,31
You Make Loving Fun,Fleetwood Mac,1977,You Make Loving Fun by Fleetwood Mac,1,1,31,31
Imagine,John Lennon,1971,Imagine by John Lennon,1,1,31,31
Misty Mountain Hop,Led Zeppelin,1971,Misty Mountain Hop by Led Zeppelin,1,1,31,31
Walk On The Wild Side,Lou Reed,1972,Walk On The Wild Side by Lou Reed,1,1,31,31
Tuesday's Gone,Lynyrd Skynyrd,1973,Tuesday's Gone by Lynyrd Skynyrd,1,1,31,31
Spirit In The Sky,Norman Greenbaum,1969,Spirit In The Sky by Norman Greenbaum,1,1,31,31
"Mama, I'm Coming Home",Ozzy Osbourne,1991,"Mama, I'm Coming Home by Ozzy Osbourne",1,1,31,31
Solsbury Hill,Peter Gabriel,1977,Solsbury Hill by Peter Gabriel,1,1,31,31
Closer to the Heart,Rush,1977,Closer to the Heart by Rush,1,1,31,31
A Day In The Life,The Beatles,1967,A Day In The Life by The Beatles,1,1,31,31
Let It Be,The Beatles,1970,Let It Be by The Beatles,1,1,31,31
L.A. Woman,The Doors,1971,L.A. Woman by The Doors,1,1,31,31
You Don't Know How It Feels,Tom Petty & The Heartbreakers,1994,You Don't Know How It Feels by Tom Petty & The Heartbreakers,1,1,31,31
You May Be Right,Billy Joel,1980,You May Be Right by Billy Joel,1,1,30,30
Down On the Corner,Creedence Clearwater Revival,1969,Down On the Corner by Creedence Clearwater Revival,1,1,30,30
Heartache Tonight,Eagles,1979,Heartache Tonight by Eagles,1,1,30,30
Monday Morning,Fleetwood Mac,1975,Monday Morning by Fleetwood Mac,1,1,30,30
Point of Know Return,Kansas,1977,Point of Know Return by Kansas,1,1,30,30
Bad Motor Scooter,Montrose,1973,Bad Motor Scooter by Montrose,1,1,30,30
Show Me the Way,Peter Frampton,1975,Show Me the Way by Peter Frampton,1,1,30,30
Speak to Me/Breathe,Pink Floyd,1973,Speak to Me/Breathe by Pink Floyd,1,1,30,30
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,1987,It's the End of the World As We Know It (And I Feel Fine) by R.E.M.,1,1,30,30
I Remember You,Skid Row,1989,I Remember You by Skid Row,1,1,30,30
Her Strut,Bob Seger,1980,Her Strut by Bob Seger,1,1,29,29
Landslide,Fleetwood Mac,1975,Landslide by Fleetwood Mac,1,1,29,29
Who's Crying Now,Journey,1981,Who's Crying Now by Journey,1,1,29,29
Home Sweet Home,Motley Crue,1985,Home Sweet Home by Motley Crue,1,1,29,29
Cinnamon Girl,Neil Young,1969,Cinnamon Girl by Neil Young,1,1,29,29
Another Brick In The Wall,Pink Floyd,1979,Another Brick In The Wall by Pink Floyd,1,1,29,29
While My Guitar Gently Weeps,The Beatles,1968,While My Guitar Gently Weeps by The Beatles,1,1,29,29
What I Like About You,The Romantics,1980,What I Like About You by The Romantics,1,1,29,29
Got Me Under Pressure,ZZ Top,1983,Got Me Under Pressure by ZZ Top,1,1,29,29
What You Need,INXS,1985,What You Need by INXS,1,1,28,28
Give It To Me,J. Geils Band,1973,Give It To Me by J. Geils Band,1,1,28,28
Piece of My Heart,Janis Joplin,1968,Piece of My Heart by Janis Joplin,1,1,28,28
Dancing Days,Led Zeppelin,1973,Dancing Days by Led Zeppelin,1,1,28,28
Love Is A Battlefield,Pat Benatar,1983,Love Is A Battlefield by Pat Benatar,1,1,28,28
In Your Eyes,Peter Gabriel,1986,In Your Eyes by Peter Gabriel,1,1,28,28
Under the Bridge,Red Hot Chili Peppers,1991,Under the Bridge by Red Hot Chili Peppers,1,1,28,28
Back In the U.S.S.R.,The Beatles,1968,Back In the U.S.S.R. by The Beatles,1,1,28,28
Livin' On The Edge,Aerosmith,1993,Livin' On The Edge by Aerosmith,1,1,27,27
Big Shot,Billy Joel,1978,Big Shot by Billy Joel,1,1,27,27
Lyin' Eyes,Eagles,1975,Lyin' Eyes by Eagles,1,1,27,27
Goodbye Yellow Brick Road,Elton John,1973,Goodbye Yellow Brick Road by Elton John,1,1,27,27
Run To The Hills,Iron Maiden,1982,Run To The Hills by Iron Maiden,1,1,27,27
Detroit Rock City,Kiss,1976,Detroit Rock City by Kiss,1,1,27,27
Working for the Weekend,Loverboy,1981,Working for the Weekend by Loverboy,1,1,27,27
Losing My Religion,R.E.M.,1991,Losing My Religion by R.E.M.,1,1,27,27
Shake It Up,The Cars,1981,Shake It Up by The Cars,1,1,27,27
A Horse With No Name,America,1972,A Horse With No Name by America,1,1,26,26
Movin' Out (Anthony's Song),Billy Joel,1977,Movin' Out (Anthony's Song) by Billy Joel,1,1,26,26
Call Me,Blondie,1980,Call Me by Blondie,1,1,26,26
Young Americans,David Bowie,1975,Young Americans by David Bowie,1,1,26,26
Baby Hold On,Eddie Money,1977,Baby Hold On by Eddie Money,1,1,26,26
Free Ride,Edgar Winter Group,1973,Free Ride by Edgar Winter Group,1,1,26,26
Fool For The City,Foghat,1975,Fool For The City by Foghat,1,1,26,26
Touch of Grey,Grateful Dead,1987,Touch of Grey by Grateful Dead,1,1,26,26
Love Hurts,Nazareth,1976,Love Hurts by Nazareth,1,1,26,26
In The Mood,Robert Plant,1983,In The Mood by Robert Plant,1,1,26,26
Subdivisions,Rush,1982,Subdivisions by Rush,1,1,26,26
God Save The Queen,Sex Pistols,1977,God Save The Queen by Sex Pistols,1,1,26,26
Hello Goodbye,The Beatles,1967,Hello Goodbye by The Beatles,1,1,26,26
You Better You Bet,The Who,1981,You Better You Bet by The Who,1,1,26,26
"Train, Train",Blackfoot,1979,"Train, Train by Blackfoot",1,1,25,25
The Devil Went Down To Georgia,Charlie Daniels Band,1979,The Devil Went Down To Georgia by Charlie Daniels Band,1,1,25,25
Born On the Bayou,Creedence Clearwater Revival,1969,Born On the Bayou by Creedence Clearwater Revival,1,1,25,25
Love Bites,Def Leppard,1987,Love Bites by Def Leppard,1,1,25,25
So Far Away,Dire Straits,1985,So Far Away by Dire Straits,1,1,25,25
We're an American Band,Grand Funk Railroad,1973,We're an American Band by Grand Funk Railroad,1,1,25,25
Call Me the Breeze,Lynyrd Skynyrd,1974,Call Me the Breeze by Lynyrd Skynyrd,1,1,25,25
"Girls, Girls, Girls",Motley Crue,1987,"Girls, Girls, Girls by Motley Crue",1,1,25,25
Kickstart My Heart,Motley Crue,1989,Kickstart My Heart by Motley Crue,1,1,25,25
Mississippi Queen,Mountain,1970,Mississippi Queen by Mountain,1,1,25,25
Us and Them,Pink Floyd,1973,Us and Them by Pink Floyd,1,1,25,25
Ballroom Blitz,Sweet,1973,Ballroom Blitz by Sweet,1,1,25,25
She's a Beauty,The Tubes,1983,She's a Beauty by The Tubes,1,1,25,25
Dreams,Van Halen,1986,Dreams by Van Halen,1,1,25,25
Eruption - You Really Got Me,Van Halen,1978,Eruption - You Really Got Me by Van Halen,1,1,25,25
Right Now,Van Halen,1991,Right Now by Van Halen,1,1,25,25
I'm Eighteen,Alice Cooper,1971,I'm Eighteen by Alice Cooper,1,1,24,24
Rock And Roll Never Forgets,Bob Seger,1977,Rock And Roll Never Forgets by Bob Seger,1,1,24,24
Who'll Stop the Rain,Creedence Clearwater Revival,1970,Who'll Stop the Rain by Creedence Clearwater Revival,1,1,24,24
Hysteria,Def Leppard,1987,Hysteria by Def Leppard,1,1,24,24
Let It Rain,Eric Clapton,1970,Let It Rain by Eric Clapton,1,1,24,24
I Need A Lover,John Mellencamp,1978,I Need A Lover by John Mellencamp,1,1,24,24
Babe I'm Gonna Leave You,Led Zeppelin,1969,Babe I'm Gonna Leave You by Led Zeppelin,1,1,24,24
That Smell,Lynyrd Skynyrd,1977,That Smell by Lynyrd Skynyrd,1,1,24,24
Smells Like Teen Spirit,Nirvana,1991,Smells Like Teen Spirit by Nirvana,1,1,24,24
Big Time,Peter Gabriel,1986,Big Time by Peter Gabriel,1,1,24,24
The First Cut Is The Deepest,Rod Stewart,1976,The First Cut Is The Deepest by Rod Stewart,1,1,24,24
Working Man,Rush,1975,Working Man by Rush,1,1,24,24
Fooling Yourself,Styx,1977,Fooling Yourself by Styx,1,1,24,24
The Weight,The Band,1968,The Weight by The Band,1,1,24,24
Here Comes The Sun,The Beatles,1969,Here Comes The Sun by The Beatles,1,1,24,24
Armageddon It,Def Leppard,1987,Armageddon It by Def Leppard,1,1,23,23
Misunderstanding,Genesis,1980,Misunderstanding by Genesis,1,1,23,23
The Lamb Lies Down On Broadway,Genesis,1974,The Lamb Lies Down On Broadway by Genesis,1,1,23,23
Turn It On Again,Genesis,1980,Turn It On Again by Genesis,1,1,23,23
Me and Bobby McGee,Janis Joplin,1971,Me and Bobby McGee by Janis Joplin,1,1,23,23
White Rabbit,Jefferson Airplane,1967,White Rabbit by Jefferson Airplane,1,1,23,23
"Careful With That Axe, Eugene",Pink Floyd,1969,"Careful With That Axe, Eugene by Pink Floyd",1,1,23,23
Man On the Moon,R.E.M.,1992,Man On the Moon by R.E.M.,1,1,23,23
Keep On Loving You,REO Speedwagon,1980,Keep On Loving You by REO Speedwagon,1,1,23,23
Test For Echo,Rush,1996,Test For Echo by Rush,1,1,23,23
Interstate Love Song,Stone Temple Pilots,1994,Interstate Love Song by Stone Temple Pilots,1,1,23,23
Life During Wartime,Talking Heads,1979,Life During Wartime by Talking Heads,1,1,23,23
I Wanna Be Sedated,The Ramones,1978,I Wanna Be Sedated by The Ramones,1,1,23,23
Learning To Fly,Tom Petty & The Heartbreakers,1991,Learning To Fly by Tom Petty & The Heartbreakers,1,1,23,23
It's Still Rock And Roll To Me,Billy Joel,1980,It's Still Rock And Roll To Me by Billy Joel,1,1,22,22
Knockin' On Heaven's Door,Bob Dylan,1973,Knockin' On Heaven's Door by Bob Dylan,1,1,22,22
Let Me Take You Home Tonight,Boston,1976,Let Me Take You Home Tonight by Boston,1,1,22,22
Crossroads,Cream,1968,Crossroads by Cream,1,1,22,22
Highway Star,Deep Purple,1972,Highway Star by Deep Purple,1,1,22,22
Drift Away,Dobie Gray,1973,Drift Away by Dobie Gray,1,1,22,22
Every Rose Has Its Thorn,Poison,1988,Every Rose Has Its Thorn by Poison,1,1,22,22
Youth Gone Wild,Skid Row,1989,Youth Gone Wild by Skid Row,1,1,22,22
Tempted,Squeeze,1981,Tempted by Squeeze,1,1,22,22
Hey Jude,The Beatles,1968,Hey Jude by The Beatles,1,1,22,22
One Thing Leads To Another,The Fixx,1983,One Thing Leads To Another by The Fixx,1,1,22,22
When It's Love,Van Halen,1988,When It's Love by Van Halen,1,1,22,22
Rock and Roll Ain't Noise Pollution,AC/DC,1980,Rock and Roll Ain't Noise Pollution by AC/DC,1,1,21,21
Midnight Rider,Allman Brothers Band,1970,Midnight Rider by Allman Brothers Band,1,1,21,21
Turn Up the Radio,Autograph,1984,Turn Up the Radio by Autograph,1,1,21,21
Only The Good Die Young,Billy Joel,1977,Only The Good Die Young by Billy Joel,1,1,21,21
One Way Or Another,Blondie,1978,One Way Or Another by Blondie,1,1,21,21
Glory Days,Bruce Springsteen,1984,Glory Days by Bruce Springsteen,1,1,21,21
Industrial Disease,Dire Straits,1982,Industrial Disease by Dire Straits,1,1,21,21
American Pie,Don McLean,1971,American Pie by Don McLean,1,1,21,21
Patience,Guns N' Roses,1988,Patience by Guns N' Roses,1,1,21,21
The Load-out/stay,Jackson Browne,1977,The Load-out/stay by Jackson Browne,1,1,21,21
Aqualung,Jethro Tull,1971,Aqualung by Jethro Tull,1,1,21,21
The Wind Cries Mary,Jimi Hendrix,1967,The Wind Cries Mary by Jimi Hendrix,1,1,21,21
Instant Karma,John Lennon,1970,Instant Karma by John Lennon,1,1,21,21
Saturday Night Special,Lynyrd Skynyrd,1975,Saturday Night Special by Lynyrd Skynyrd,1,1,21,21
Brain Damage,Pink Floyd,1973,Brain Damage by Pink Floyd,1,1,21,21
Nothin' But A Good Time,Poison,1988,Nothin' But A Good Time by Poison,1,1,21,21
Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,1973,Doo Doo Doo Doo Doo (Heartbreaker) by Rolling Stones,1,1,21,21
Your Love,The Outfield,1985,Your Love by The Outfield,1,1,21,21
Dancing With Myself,Billy Idol,1980,Dancing With Myself by Billy Idol,1,1,20,20
Shine,Collective Soul,1993,Shine by Collective Soul,1,1,20,20
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,Lookin' Out My Back Door by Creedence Clearwater Revival,1,1,20,20
Let's Dance,David Bowie,1983,Let's Dance by David Bowie,1,1,20,20
Authority Song,John Mellencamp,1983,Authority Song by John Mellencamp,1,1,20,20
Dixie Chicken,Little Feat,1973,Dixie Chicken by Little Feat,1,1,20,20
Cat Scratch Fever,Ted Nugent,1977,Cat Scratch Fever by Ted Nugent,1,1,20,20
Eleanor Rigby,The Beatles,1966,Eleanor Rigby by The Beatles,1,1,20,20
Lucy In The Sky With Diamonds,The Beatles,1967,Lucy In The Sky With Diamonds by The Beatles,1,1,20,20
You Really Got Me,The Kinks,1964,You Really Got Me by The Kinks,1,1,20,20
Leave It,Yes,1983,Leave It by Yes,1,1,20,20
Sister Golden Hair,America,1975,Sister Golden Hair by America,1,1,19,19
Stay With Me,Faces,1971,Stay With Me by Faces,1,1,19,19
Truckin',Grateful Dead,1970,Truckin' by Grateful Dead,1,1,19,19
Bungle In The Jungle,Jethro Tull,1974,Bungle In The Jungle by Jethro Tull,1,1,19,19
On the Dark Side,John Cafferty,1983,On the Dark Side by John Cafferty,1,1,19,19
The Unforgiven,Metallica,1991,The Unforgiven by Metallica,1,1,19,19
Rock Candy,Montrose,1973,Rock Candy by Montrose,1,1,19,19
Mother,Pink Floyd,1979,Mother by Pink Floyd,1,1,19,19
Lady,Styx,1973,Lady by Styx,1,1,19,19
And She Was,Talking Heads,1985,And She Was by Talking Heads,1,1,19,19
You Might Think,The Cars,1984,You Might Think by The Cars,1,1,19,19
"De Do Do Do, De Da Da Da",The Police,1980,"De Do Do Do, De Da Da Da by The Police",1,1,19,19
Spirits In The Material World,The Police,1981,Spirits In The Material World by The Police,1,1,19,19
Eminence Front,The Who,1982,Eminence Front by The Who,1,1,19,19
Rockin' Into the Night,.38 Special,1980,Rockin' Into the Night by .38 Special,1,1,18,18
Same Old Song and Dance,Aerosmith,1974,Same Old Song and Dance by Aerosmith,1,1,18,18
Under My Wheels,Alice Cooper,1971,Under My Wheels by Alice Cooper,1,1,18,18
Suffragette City,David Bowie,1972,Suffragette City by David Bowie,1,1,18,18
Fire On High,Electric Light Orchestra,1975,Fire On High by Electric Light Orchestra,1,1,18,18
Follow You Follow Me,Genesis,1978,Follow You Follow Me by Genesis,1,1,18,18
No Reply At All,Genesis,1981,No Reply At All by Genesis,1,1,18,18
The Number Of The Beast,Iron Maiden,1982,The Number Of The Beast by Iron Maiden,1,1,18,18
Funk #49,James Gang,1970,Funk #49 by James Gang,1,1,18,18
Communication Breakdown,Led Zeppelin,1969,Communication Breakdown by Led Zeppelin,1,1,18,18
Stand,R.E.M.,1988,Stand by R.E.M.,1,1,18,18
Abracadabra,Steve Miller Band,1982,Abracadabra by Steve Miller Band,1,1,18,18
I'd Love To Change The World,Ten Years After,1971,I'd Love To Change The World by Ten Years After,1,1,18,18
House Of The Rising Sun,The Animals,1964,House Of The Rising Sun by The Animals,1,1,18,18
We Can Work It Out,The Beatles,1965,We Can Work It Out by The Beatles,1,1,18,18
My City Was Gone,The Pretenders,1984,My City Was Gone by The Pretenders,1,1,18,18
Love Reign O'er Me,The Who,1973,Love Reign O'er Me by The Who,1,1,18,18
One,U2,1991,One by U2,1,1,18,18
Cuts Like a Knife,Bryan Adams,1983,Cuts Like a Knife by Bryan Adams,1,1,17,17
Fashion,David Bowie,1980,Fashion by David Bowie,1,1,17,17
Your Song,Elton John,1970,Your Song by Elton John,1,1,17,17
Dirty White Boy,Foreigner,1979,Dirty White Boy by Foreigner,1,1,17,17
Land Of Confusion,Genesis,1986,Land Of Confusion by Genesis,1,1,17,17
Mama,Genesis,1983,Mama by Genesis,1,1,17,17
Keep Your Hands To Yourself,Georgia Satellites,1986,Keep Your Hands To Yourself by Georgia Satellites,1,1,17,17
I'm No Angel,Gregg Allman,1987,I'm No Angel by Gregg Allman,1,1,17,17
Freeze-frame,J. Geils Band,1981,Freeze-frame by J. Geils Band,1,1,17,17
Teacher,Jethro Tull,1972,Teacher by Jethro Tull,1,1,17,17
Margaritaville,Jimmy Buffett,1977,Margaritaville by Jimmy Buffett,1,1,17,17
Crumblin' Down,John Mellencamp,1983,Crumblin' Down by John Mellencamp,1,1,17,17
When The Levee Breaks,Led Zeppelin,1971,When The Levee Breaks by Led Zeppelin,1,1,17,17
Dr. Feelgood,Motley Crue,1989,Dr. Feelgood by Motley Crue,1,1,17,17
Heart of Gold,Neil Young,1972,Heart of Gold by Neil Young,1,1,17,17
Better Man,Pearl Jam,1994,Better Man by Pearl Jam,1,1,17,17
Fearless,Pink Floyd,1971,Fearless by Pink Floyd,1,1,17,17
Get Off Of My Cloud,Rolling Stones,1965,Get Off Of My Cloud by Rolling Stones,1,1,17,17
18 And Life,Skid Row,1989,18 And Life by Skid Row,1,1,17,17
Crossfire,Stevie Ray Vaughan,1989,Crossfire by Stevie Ray Vaughan,1,1,17,17
The House Is Rockin',Stevie Ray Vaughan,1989,The House Is Rockin' by Stevie Ray Vaughan,1,1,17,17
Moonlight Drive,The Doors,1967,Moonlight Drive by The Doors,1,1,17,17
Waiting For The Sun,The Doors,1970,Waiting For The Sun by The Doors,1,1,17,17
Wrapped Around Your Finger,The Police,1983,Wrapped Around Your Finger by The Police,1,1,17,17
Blitzkrieg Bop,The Ramones,1976,Blitzkrieg Bop by The Ramones,1,1,17,17
Here Comes My Girl,Tom Petty & The Heartbreakers,1979,Here Comes My Girl by Tom Petty & The Heartbreakers,1,1,17,17
Peaceful Easy Feeling,Eagles,1972,Peaceful Easy Feeling by Eagles,1,1,16,16
After Midnight,Eric Clapton,1970,After Midnight by Eric Clapton,1,1,16,16
Baker Street,Gerry Rafferty,1978,Baker Street by Gerry Rafferty,1,1,16,16
Never Been Any Reason,Head East,1975,Never Been Any Reason by Head East,1,1,16,16
I Hate Myself For Loving You,Joan Jett,1988,I Hate Myself For Loving You by Joan Jett,1,1,16,16
Turn Me Loose,Loverboy,1980,Turn Me Loose by Loverboy,1,1,16,16
Southern Man,Neil Young,1970,Southern Man by Neil Young,1,1,16,16
Over the Mountain,Ozzy Osbourne,1981,Over the Mountain by Ozzy Osbourne,1,1,16,16
Alive,Pearl Jam,1991,Alive by Pearl Jam,1,1,16,16
Even Flow,Pearl Jam,1991,Even Flow by Pearl Jam,1,1,16,16
Jeremy,Pearl Jam,1991,Jeremy by Pearl Jam,1,1,16,16
The Zoo,Scorpions,1980,The Zoo by Scorpions,1,1,16,16
Black Hole Sun,Soundgarden,1994,Black Hole Sun by Soundgarden,1,1,16,16
Do You Remember Rock 'n' Roll Radio,The Ramones,1980,Do You Remember Rock 'n' Roll Radio by The Ramones,1,1,16,16
Jailbreak,Thin Lizzy,1976,Jailbreak by Thin Lizzy,1,1,16,16
Everybody Wants Some!!,Van Halen,1980,Everybody Wants Some!! by Van Halen,1,1,16,16
Cryin',Aerosmith,1993,Cryin' by Aerosmith,1,1,15,15
Train Kept A-Rollin',Aerosmith,1974,Train Kept A-Rollin' by Aerosmith,1,1,15,15
Still the Same,Bob Seger,1978,Still the Same by Bob Seger,1,1,15,15
Rocket,Def Leppard,1987,Rocket by Def Leppard,1,1,15,15
Walk of Life,Dire Straits,1985,Walk of Life by Dire Straits,1,1,15,15
Wonderful Tonight,Eric Clapton,1977,Wonderful Tonight by Eric Clapton,1,1,15,15
Dazed and Confused,Led Zeppelin,1969,Dazed and Confused by Led Zeppelin,1,1,15,15
I Melt With You,Modern English,1982,I Melt With You by Modern English,1,1,15,15
All Apologies,Nirvana,1993,All Apologies by Nirvana,1,1,15,15
On The Turning Away,Pink Floyd,1987,On The Turning Away by Pink Floyd,1,1,15,15
We Are the Champions,Queen,1977,We Are the Champions by Queen,1,1,15,15
Every Picture Tells A Story,Rod Stewart,1971,Every Picture Tells A Story by Rod Stewart,1,1,15,15
There's Only One Way to Rock,Sammy Hagar,1981,There's Only One Way to Rock by Sammy Hagar,1,1,15,15
Squeeze Box,The Who,1975,Squeeze Box by The Who,1,1,15,15
Born In the U.S.A.,Bruce Springsteen,1984,Born In the U.S.A. by Bruce Springsteen,1,1,14,14
I'm On Fire,Bruce Springsteen,1984,I'm On Fire by Bruce Springsteen,1,1,14,14
25 Or 6 To 4,Chicago,1970,25 Or 6 To 4 by Chicago,1,1,14,14
Run Through the Jungle,Creedence Clearwater Revival,1970,Run Through the Jungle by Creedence Clearwater Revival,1,1,14,14
Hush,Deep Purple,1968,Hush by Deep Purple,1,1,14,14
Brothers In Arms,Dire Straits,1985,Brothers In Arms by Dire Straits,1,1,14,14
Seven Bridges Road,Eagles,1980,Seven Bridges Road by Eagles,1,1,14,14
Those Shoes,Eagles,1979,Those Shoes by Eagles,1,1,14,14
Witchy Woman,Eagles,1972,Witchy Woman by Eagles,1,1,14,14
Candle in the Wind,Elton John,1973,Candle in the Wind by Elton John,1,1,14,14
Bad Love,Eric Clapton,1989,Bad Love by Eric Clapton,1,1,14,14
Some Kind of Wonderful,Grand Funk Railroad,1975,Some Kind of Wonderful by Grand Funk Railroad,1,1,14,14
When I Come Around,Green Day,1994,When I Come Around by Green Day,1,1,14,14
Watching the Wheels,John Lennon,1980,Watching the Wheels by John Lennon,1,1,14,14
Faithfully,Journey,1983,Faithfully by Journey,1,1,14,14
Don't Ask Me No Questions,Lynyrd Skynyrd,1974,Don't Ask Me No Questions by Lynyrd Skynyrd,1,1,14,14
"Hey Hey, My My",Neil Young,1978,"Hey Hey, My My by Neil Young",1,1,14,14
We Belong,Pat Benatar,1984,We Belong by Pat Benatar,1,1,14,14
We Will Rock You,Queen,1977,We Will Rock You by Queen,1,1,14,14
Since You Been Gone,Rainbow,1979,Since You Been Gone by Rainbow,1,1,14,14
Ain't Too Proud to Beg,Rolling Stones,1974,Ain't Too Proud to Beg by Rolling Stones,1,1,14,14
Love the One You're With,Stephen Stills,1971,Love the One You're With by Stephen Stills,1,1,14,14
The Grand Illusion,Styx,1977,The Grand Illusion by Styx,1,1,14,14
Moondance,Van Morrison,1970,Moondance by Van Morrison,1,1,14,14
Time of the Season,Zombies,1968,Time of the Season by Zombies,1,1,14,14
Kryptonite,3 Doors Down,2000,Kryptonite by 3 Doors Down,1,1,13,13
Man In The Box,Alice In Chains,1990,Man In The Box by Alice In Chains,1,1,13,13
Let It Ride,Bachman-Turner Overdrive,1973,Let It Ride by Bachman-Turner Overdrive,1,1,13,13
